,T1,T2,Q1,time,run
206,71.688,42.748,100.0,1684955573.1142032,0.0
207,71.816,42.651,100.0,1684955574.3260632,0.0
208,71.784,42.813,100.0,1684955575.5376315,0.0
209,71.881,43.038,100.0,1684955576.7495146,0.0
210,72.139,43.07,100.0,1684955577.961434,0.0
211,72.139,43.103,100.0,1684955579.3034961,0.0
212,72.139,43.167,100.0,1684955580.5153434,0.0
213,72.461,43.296,100.0,1684955581.7271018,0.0
214,72.461,43.489,100.0,1684955582.9393988,0.0
215,72.396,43.457,100.0,1684955584.1509314,0.0
216,72.429,43.457,100.0,1684955585.3626404,0.0
217,72.687,43.683,100.0,1684955586.5745244,0.0
218,72.719,43.779,100.0,1684955587.78693,0.0
219,72.687,43.683,100.0,1684955588.9983494,0.0
220,72.783,44.392,100.0,1684955590.2105553,0.0
221,73.041,44.005,100.0,1684955591.4220598,0.0
222,73.105,44.134,100.0,1684955592.6342814,0.0
223,72.977,43.94,100.0,1684955593.8460505,0.0
224,73.073,44.102,100.0,1684955595.0579236,0.0
225,73.363,44.359,100.0,1684955596.269666,0.0
226,73.396,44.875,100.0,1684955597.481493,0.0
227,73.428,44.392,100.0,1684955598.6935833,0.0
228,73.396,44.553,100.0,1684955599.9051266,0.0
229,73.718,44.585,100.0,1684955601.1170535,0.0
230,73.75,44.682,100.0,1684955602.329585,0.0
231,73.718,44.585,100.0,1684955603.541558,0.0
232,73.847,44.778,100.0,1684955604.753317,0.0
233,74.072,44.263,100.0,1684955605.9655485,0.0
234,74.04,44.907,100.0,1684955607.17732,0.0
235,74.008,45.036,100.0,1684955608.3891013,0.0
236,74.104,45.004,100.0,1684955609.601286,0.0
237,74.298,44.649,100.0,1684955610.8132496,0.0
238,74.362,45.036,100.0,1684955612.0254269,0.0
239,74.395,44.907,100.0,1684955613.2367208,0.0
240,74.395,45.326,100.0,1684955614.4485974,0.0
241,74.556,45.197,100.0,1684955615.7910986,0.0
242,74.588,45.358,100.0,1684955617.0025785,0.0
243,74.717,45.584,100.0,1684955618.214115,0.0
244,74.652,45.713,100.0,1684955619.4260406,0.0
245,74.749,45.648,100.0,1684955620.638217,0.0
246,74.975,45.713,100.0,1684955621.8501747,0.0
247,75.007,45.777,100.0,1684955623.0618017,0.0
248,75.039,45.938,100.0,1684955624.273693,0.0
249,75.007,45.842,100.0,1684955625.4855692,0.0
250,74.975,46.003,100.0,1684955626.6979778,0.0
251,75.232,46.035,100.0,1684955627.9094543,0.0
252,75.265,46.132,100.0,1684955629.1210418,0.0
253,75.329,45.906,100.0,1684955630.3331397,0.0
254,75.297,46.261,100.0,1684955631.544641,0.0
255,75.361,46.357,100.0,1684955632.756674,0.0
256,75.555,46.261,100.0,1684955633.9683144,0.0
257,75.49,46.357,100.0,1684955635.1808045,0.0
258,75.684,46.293,100.0,1684955636.3924506,0.0
259,75.684,46.647,100.0,1684955637.604646,0.0
260,75.845,46.583,100.0,1684955638.8165982,0.0
261,75.941,46.583,100.0,1684955640.0286672,0.0
262,75.974,46.712,100.0,1684955641.2407928,0.0
263,76.006,46.97,100.0,1684955642.452551,0.0
264,76.103,47.002,100.0,1684955643.6646595,0.0
265,76.264,47.002,100.0,1684955644.876527,0.0
